pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.509147,0.731135,0.401206,0.731769,0.675963,0.731135,All
0.510936,0.731769,0.402473,0.732403,0.681956,0.731769,All
0.511443,0.732403,0.402918,0.733037,0.686928,0.732403,All
0.513477,0.733037,0.403858,0.733672,0.687598,0.733037,All
0.513541,0.733672,0.404624,0.734306,0.69056,0.733672,All
0.519147,0.734306,0.407005,0.73494,0.6926,0.734306,All
0.521472,0.73494,0.407464,0.735574,0.694517,0.73494,All
0.522646,0.735574,0.408237,0.736208,0.699644,0.735574,All
0.523763,0.736208,0.40908,0.736842,0.702315,0.736208,All
0.527787,0.736842,0.413389,0.737476,0.702461,0.736842,All
0.529024,0.737476,0.415466,0.73811,0.703792,0.737476,All
0.530192,0.73811,0.415488,0.738744,0.703797,0.73811,All
0.532534,0.738744,0.419403,0.739379,0.70619,0.738744,All
0.536569,0.739379,0.421407,0.740013,0.707488,0.739379,All
0.537244,0.740013,0.421707,0.740647,0.709773,0.740013,All
0.538813,0.740647,0.422684,0.741281,0.711473,0.740647,All
0.544776,0.741281,0.423378,0.741915,0.715356,0.741281,All
0.547004,0.741915,0.424484,0.742549,0.716675,0.741915,All
0.550109,0.742549,0.424548,0.743183,0.71896,0.742549,All
0.55111,0.743183,0.425759,0.743817,0.719756,0.743183,All
0.55396,0.743817,0.426422,0.744451,0.723129,0.743817,All
0.554697,0.744451,0.426503,0.745086,0.723277,0.744451,All
0.556,0.745086,0.427314,0.74572,0.724639,0.745086,All
0.558125,0.74572,0.427886,0.746354,0.731762,0.74572,All
0.559368,0.746354,0.428259,0.746988,0.734588,0.746354,All
0.560637,0.746988,0.4288,0.747622,0.735396,0.746988,All
0.562516,0.747622,0.429631,0.748256,0.73932,0.747622,All
0.562935,0.748256,0.431463,0.74889,0.741853,0.748256,All
0.565444,0.74889,0.432652,0.749524,0.743229,0.74889,All
0.56551,0.749524,0.432802,0.750159,0.743757,0.749524,All
0.566062,0.750159,0.432846,0.750793,0.743852,0.750159,All
0.56776,0.750793,0.432861,0.751427,0.746064,0.750793,All
0.568997,0.751427,0.433117,0.752061,0.748563,0.751427,All
0.569068,0.752061,0.434266,0.752695,0.75209,0.752061,All
0.579482,0.752695,0.434373,0.753329,0.752979,0.752695,All
0.580777,0.753329,0.434647,0.753963,0.75321,0.753329,All
0.581986,0.753963,0.434714,0.754597,0.754966,0.753963,All
0.590891,0.754597,0.435688,0.755231,0.75827,0.754597,All
0.591872,0.755231,0.435869,0.755866,0.758485,0.755231,All
0.596977,0.755866,0.436492,0.7565,0.760906,0.755866,All
0.612949,0.7565,0.436853,0.757134,0.761187,0.7565,All
0.628162,0.757134,0.438753,0.757768,0.761925,0.757134,All
0.628445,0.757768,0.439075,0.758402,0.768803,0.757768,All
0.628778,0.758402,0.440162,0.759036,0.769518,0.758402,All
0.632739,0.759036,0.443781,0.75967,0.770786,0.759036,All
0.639057,0.75967,0.444451,0.760304,0.771365,0.75967,All
0.640567,0.760304,0.445043,0.760938,0.774254,0.760304,All
0.641228,0.760938,0.445514,0.761573,0.774904,0.760938,All
