standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.227045,0.337662,-0.0469419,0.337662,All
-0.226539,0.338661,-0.0468983,0.338661,All
-0.223318,0.33966,-0.0442797,0.33966,All
-0.222831,0.340659,-0.0423492,0.340659,All
-0.221992,0.341658,-0.0361793,0.341658,All
-0.219798,0.342657,-0.0353644,0.342657,All
-0.217918,0.343656,-0.0345718,0.343656,All
-0.217889,0.344655,-0.0343735,0.344655,All
-0.217308,0.345654,-0.0341607,0.345654,All
-0.216133,0.346653,-0.033657,0.346653,All
-0.211888,0.347652,-0.0329613,0.347652,All
-0.211794,0.348651,-0.027216,0.348651,All
-0.208551,0.34965,-0.0268571,0.34965,All
-0.20729,0.350649,-0.025618,0.350649,All
-0.206869,0.351648,-0.018792,0.351648,All
-0.206439,0.352647,-0.0176782,0.352647,All
-0.206063,0.353646,-0.0114617,0.353646,All
-0.196694,0.354645,-0.0114239,0.354645,All
-0.195437,0.355644,-0.010813,0.355644,All
-0.194405,0.356643,-0.0103157,0.356643,All
-0.194272,0.357642,0.000843602,0.357642,All
-0.192789,0.358641,0.00186074,0.358641,All
-0.192248,0.35964,0.00276757,0.35964,All
-0.19205,0.360639,0.0028629,0.360639,All
-0.19203,0.361638,0.00290877,0.361638,All
-0.191413,0.362637,0.00683941,0.362637,All
-0.191381,0.363636,0.0136558,0.363636,All
-0.189852,0.364635,0.0145835,0.364635,All
-0.189704,0.365634,0.0150256,0.365634,All
-0.189079,0.366633,0.018404,0.366633,All
-0.188769,0.367632,0.0202591,0.367632,All
-0.188372,0.368631,0.0227827,0.368631,All
-0.183521,0.36963,0.0278664,0.36963,All
-0.183491,0.370629,0.0325258,0.370629,All
-0.182698,0.371628,0.0328875,0.371628,All
-0.179606,0.372627,0.0346053,0.372627,All
-0.179151,0.373626,0.0376238,0.373626,All
-0.178933,0.374625,0.03847,0.374625,All
-0.178567,0.375624,0.0449484,0.375624,All
-0.177378,0.376623,0.0450998,0.376623,All
-0.17343,0.377622,0.0486309,0.377622,All
-0.173325,0.378621,0.0493071,0.378621,All
-0.172008,0.37962,0.0493385,0.37962,All
-0.169714,0.380619,0.0502515,0.380619,All
-0.166957,0.381618,0.0524408,0.381618,All
-0.166625,0.382617,0.0542164,0.382617,All
-0.166619,0.383616,0.0544557,0.383616,All
-0.164953,0.384615,0.0551782,0.384615,All
-0.164768,0.385614,0.0565126,0.385614,All
-0.162537,0.386613,0.0571265,0.386613,All
-0.159616,0.387612,0.0610892,0.387612,All
-0.159298,0.388611,0.0613938,0.388611,All
-0.158312,0.38961,0.0653101,0.38961,All
-0.157652,0.390609,0.0659729,0.390609,All
-0.153132,0.391608,0.0663147,0.391608,All
-0.152249,0.392607,0.0680878,0.392607,All
-0.151325,0.393606,0.0690049,0.393606,All
-0.149846,0.394605,0.0711633,0.394605,All
-0.148946,0.395604,0.0717064,0.395604,All
-0.146961,0.396603,0.0737,0.396603,All
-0.146439,0.397602,0.0744009,0.397602,All
-0.145191,0.398601,0.0746025,0.398601,All
-0.144722,0.3996,0.0777546,0.3996,All
-0.144477,0.400599,0.0780895,0.400599,All
-0.143448,0.401598,0.0829725,0.401598,All
-0.143318,0.402597,0.0832587,0.402597,All
-0.141806,0.403596,0.083514,0.403596,All
-0.140944,0.404595,0.0849693,0.404595,All
