iteration,convergenceIndicator,phase,Vpop_pop,Clpop_pop,thetaAge_pop,thetaCr_pop,omega_V,omega_Cl,a
164,12263.3,1,0.85866,0.4861,-0.248901,0.792324,0.364187,0.838405,4.02805
165,12212.7,1,0.840475,0.48236,-0.24726,0.80958,0.367637,0.825434,3.97943
166,12143.1,1,0.849103,0.488756,-0.246741,0.793316,0.358329,0.804533,4.02941
167,12166,1,0.866178,0.483269,-0.248047,0.784051,0.354799,0.800755,4.09057
168,12217.7,1,0.870819,0.485011,-0.248923,0.775806,0.357773,0.816874,4.08319
169,12194.6,1,0.886612,0.47353,-0.249283,0.774097,0.362398,0.810074,4.04083
170,12275.5,1,0.919246,0.471478,-0.249167,0.760367,0.355087,0.825483,4.15014
171,12299.2,1,0.902246,0.464881,-0.247291,0.772259,0.372231,0.814521,4.09045
172,12263.2,1,0.871867,0.469585,-0.248118,0.795421,0.368363,0.82025,4.05409
173,12201.1,1,0.862129,0.475168,-0.24792,0.797446,0.373695,0.79948,4.00358
174,12263.4,1,0.85643,0.471718,-0.248973,0.809279,0.380173,0.821356,3.96919
175,12277.9,1,0.855859,0.475959,-0.248424,0.801425,0.380824,0.818651,3.99152
176,12206.8,1,0.848902,0.475229,-0.248117,0.811063,0.382885,0.831112,3.89045
177,12180.5,1,0.855619,0.473385,-0.248066,0.800382,0.37319,0.815506,3.95084
178,12316.4,1,0.865921,0.473429,-0.247627,0.79895,0.377907,0.834507,4.01113
179,12223.2,1,0.861728,0.473061,-0.247823,0.802011,0.38543,0.819116,3.90956
180,12173.3,1,0.864662,0.478603,-0.24837,0.798686,0.379974,0.814922,3.87819
181,12301.1,1,0.85567,0.471227,-0.247583,0.806657,0.389835,0.819317,3.95848
182,12279.8,1,0.858255,0.468725,-0.248349,0.813129,0.394559,0.811439,3.92558
183,12277.1,1,0.860459,0.46778,-0.248225,0.800141,0.384674,0.827664,3.93662
184,12234.3,1,0.860068,0.467852,-0.249014,0.806055,0.381646,0.831008,3.89358
185,12175.9,1,0.870698,0.47435,-0.249177,0.79078,0.39101,0.809967,3.82572
186,12371.8,1,0.870498,0.468422,-0.247232,0.79619,0.410919,0.826182,3.89163
187,12317.5,1,0.865193,0.470033,-0.247107,0.797597,0.400515,0.809376,3.97284
188,12372.8,1,0.871978,0.462185,-0.247275,0.79067,0.402503,0.82215,3.95732
189,12383.7,1,0.857902,0.461386,-0.247554,0.806248,0.400687,0.826745,3.96877
190,12378.7,1,0.867408,0.459044,-0.247751,0.80896,0.39923,0.816178,4.00451
191,12337.4,1,0.858354,0.470876,-0.247613,0.804628,0.393601,0.814129,3.99563
192,12397.5,1,0.872666,0.47758,-0.247977,0.791091,0.389114,0.820772,4.08152
193,12220,1,0.86498,0.473034,-0.246684,0.781744,0.379261,0.802446,4.10297
194,12292,1,0.875455,0.468352,-0.247327,0.779233,0.38146,0.820627,3.99908
195,12208.4,1,0.87412,0.480949,-0.247338,0.781208,0.371801,0.818481,3.96929
196,12167.4,1,0.888593,0.475212,-0.248203,0.75485,0.373519,0.801315,3.95555
197,12286.7,1,0.871875,0.469179,-0.248225,0.784966,0.380775,0.810219,4.02908
198,12470,1,0.861116,0.476564,-0.24791,0.786829,0.400201,0.823762,4.09163
199,12393.6,1,0.854334,0.487018,-0.246798,0.786001,0.399885,0.802904,4.06289
200,12369.7,1,0.852438,0.486638,-0.247231,0.775941,0.38976,0.826888,4.02269
201,12395.3,1,0.864623,0.491295,-0.247369,0.773899,0.392581,0.825211,4.04144
202,12320,1,0.872025,0.476444,-0.247912,0.764802,0.387404,0.807189,4.03615
203,12413.1,1,0.9002,0.479512,-0.247911,0.74398,0.388464,0.821855,4.10172
204,12389.9,1,0.889742,0.480539,-0.247163,0.75648,0.394539,0.825109,4.02116
205,12323.5,1,0.880971,0.479049,-0.246288,0.768057,0.399853,0.812543,3.94225
206,12355.6,1,0.885231,0.481476,-0.248061,0.759093,0.397592,0.833148,3.93357
207,12298,1,0.896192,0.481029,-0.2471,0.760848,0.397573,0.838537,3.84652
208,12379.7,1,0.892736,0.481389,-0.247232,0.759333,0.393894,0.849679,3.93786
209,12229.6,1,0.891982,0.488986,-0.247506,0.762322,0.38392,0.848098,3.83815
210,12225.4,1,0.891138,0.492691,-0.247198,0.761859,0.377858,0.863537,3.81281
211,12330.3,1,0.887317,0.496911,-0.247141,0.750251,0.399605,0.854156,3.82827
212,12210.3,1,0.884096,0.499091,-0.24736,0.764602,0.389487,0.832529,3.85343
213,12306.2,1,0.872713,0.496519,-0.247224,0.781052,0.392684,0.833458,3.9036
214,12245.1,1,0.870697,0.494794,-0.247282,0.779912,0.393356,0.818159,3.86999
215,12247.2,1,0.879543,0.490542,-0.247195,0.788582,0.387452,0.828083,3.88049
216,12280.1,1,0.865117,0.482219,-0.24741,0.806577,0.394244,0.850502,3.81186
217,12195.4,1,0.877946,0.485989,-0.247159,0.78782,0.393499,0.845385,3.72954
218,12178.5,1,0.876446,0.490247,-0.247103,0.782411,0.389799,0.82398,3.81069
