pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.430307,0.0913126,-0.387471,0.0913126,-0.300743,0.0913126,All
-0.429042,0.0919467,-0.386636,0.0919467,-0.299147,0.0919467,All
-0.420226,0.0925808,-0.385634,0.0925808,-0.298195,0.0925808,All
-0.41874,0.093215,-0.383661,0.093215,-0.297014,0.093215,All
-0.41511,0.0938491,-0.383469,0.0938491,-0.295318,0.0938491,All
-0.412095,0.0944832,-0.379909,0.0944832,-0.290955,0.0944832,All
-0.412058,0.0951173,-0.379635,0.0951173,-0.288797,0.0951173,All
-0.411748,0.0957514,-0.379422,0.0957514,-0.281063,0.0957514,All
-0.405381,0.0963855,-0.378018,0.0963855,-0.277846,0.0963855,All
-0.403023,0.0970197,-0.374141,0.0970197,-0.276302,0.0970197,All
-0.401535,0.0976538,-0.372996,0.0976538,-0.275388,0.0976538,All
-0.400604,0.0982879,-0.371611,0.0982879,-0.273372,0.0982879,All
-0.399596,0.098922,-0.37073,0.098922,-0.267892,0.098922,All
-0.399406,0.0995561,-0.369522,0.0995561,-0.265421,0.0995561,All
-0.398944,0.10019,-0.369244,0.10019,-0.265231,0.10019,All
-0.397273,0.100824,-0.367651,0.100824,-0.261265,0.100824,All
-0.393775,0.101458,-0.361312,0.101458,-0.260894,0.101458,All
-0.389616,0.102093,-0.360933,0.102093,-0.259304,0.102093,All
-0.388112,0.102727,-0.359713,0.102727,-0.256973,0.102727,All
-0.38328,0.103361,-0.357462,0.103361,-0.256614,0.103361,All
-0.379264,0.103995,-0.35528,0.103995,-0.253923,0.103995,All
-0.379091,0.104629,-0.350723,0.104629,-0.25126,0.104629,All
-0.374855,0.105263,-0.344006,0.105263,-0.25017,0.105263,All
-0.374106,0.105897,-0.341996,0.105897,-0.249301,0.105897,All
-0.372744,0.106531,-0.341873,0.106531,-0.246296,0.106531,All
-0.372567,0.107166,-0.341318,0.107166,-0.243185,0.107166,All
-0.372278,0.1078,-0.340244,0.1078,-0.241381,0.1078,All
-0.370772,0.108434,-0.33936,0.108434,-0.237321,0.108434,All
-0.370247,0.109068,-0.334627,0.109068,-0.236403,0.109068,All
-0.366651,0.109702,-0.327345,0.109702,-0.236106,0.109702,All
-0.366553,0.110336,-0.324578,0.110336,-0.232806,0.110336,All
-0.366511,0.11097,-0.320753,0.11097,-0.226145,0.11097,All
-0.363223,0.111604,-0.319116,0.111604,-0.22393,0.111604,All
-0.362854,0.112238,-0.31787,0.112238,-0.22235,0.112238,All
-0.355739,0.112873,-0.317741,0.112873,-0.22092,0.112873,All
-0.354115,0.113507,-0.316387,0.113507,-0.220731,0.113507,All
-0.351879,0.114141,-0.313165,0.114141,-0.219946,0.114141,All
-0.351813,0.114775,-0.311667,0.114775,-0.219202,0.114775,All
-0.349949,0.115409,-0.311418,0.115409,-0.217398,0.115409,All
-0.348344,0.116043,-0.309152,0.116043,-0.213077,0.116043,All
-0.34786,0.116677,-0.308223,0.116677,-0.210982,0.116677,All
-0.346291,0.117311,-0.308081,0.117311,-0.208185,0.117311,All
-0.346244,0.117945,-0.306488,0.117945,-0.207215,0.117945,All
-0.34546,0.11858,-0.306035,0.11858,-0.206302,0.11858,All
-0.343956,0.119214,-0.303412,0.119214,-0.206169,0.119214,All
-0.343757,0.119848,-0.302204,0.119848,-0.203982,0.119848,All
-0.343402,0.120482,-0.301916,0.120482,-0.200402,0.120482,All
-0.339618,0.121116,-0.301239,0.121116,-0.198276,0.121116,All
-0.332909,0.12175,-0.30115,0.12175,-0.197608,0.12175,All
-0.330421,0.122384,-0.297898,0.122384,-0.197291,0.122384,All
-0.329502,0.123018,-0.296001,0.123018,-0.19597,0.123018,All
-0.327477,0.123653,-0.295545,0.123653,-0.194602,0.123653,All
-0.327175,0.124287,-0.294318,0.124287,-0.192151,0.124287,All
-0.324402,0.124921,-0.293914,0.124921,-0.188696,0.124921,All
-0.32438,0.125555,-0.290233,0.125555,-0.186815,0.125555,All
-0.32323,0.126189,-0.288713,0.126189,-0.183355,0.126189,All
-0.322553,0.126823,-0.287553,0.126823,-0.183041,0.126823,All
-0.321708,0.127457,-0.281571,0.127457,-0.181995,0.127457,All
-0.32076,0.128091,-0.280917,0.128091,-0.181476,0.128091,All
-0.318534,0.128725,-0.279804,0.128725,-0.179756,0.128725,All
-0.314496,0.12936,-0.277342,0.12936,-0.179634,0.12936,All
-0.314255,0.129994,-0.277011,0.129994,-0.177358,0.129994,All
-0.313147,0.130628,-0.27565,0.130628,-0.176984,0.130628,All
-0.31223,0.131262,-0.275523,0.131262,-0.176807,0.131262,All
-0.308488,0.131896,-0.274831,0.131896,-0.175325,0.131896,All
-0.307854,0.13253,-0.274626,0.13253,-0.175251,0.13253,All
-0.30438,0.133164,-0.273849,0.133164,-0.173821,0.133164,All
-0.303844,0.133798,-0.273732,0.133798,-0.172184,0.133798,All
-0.303751,0.134432,-0.273276,0.134432,-0.170637,0.134432,All
-0.301872,0.135067,-0.273223,0.135067,-0.170433,0.135067,All
-0.300397,0.135701,-0.272998,0.135701,-0.169951,0.135701,All
-0.300382,0.136335,-0.272839,0.136335,-0.169232,0.136335,All
-0.300073,0.136969,-0.272825,0.136969,-0.168602,0.136969,All
-0.299866,0.137603,-0.271251,0.137603,-0.168141,0.137603,All
-0.29948,0.138237,-0.270326,0.138237,-0.161596,0.138237,All
-0.298437,0.138871,-0.268303,0.138871,-0.158559,0.138871,All
-0.297666,0.139505,-0.267792,0.139505,-0.152828,0.139505,All
-0.297452,0.14014,-0.266423,0.14014,-0.152808,0.14014,All
-0.296469,0.140774,-0.26631,0.140774,-0.151085,0.140774,All
-0.295793,0.141408,-0.265162,0.141408,-0.15022,0.141408,All
-0.295218,0.142042,-0.264982,0.142042,-0.149584,0.142042,All
-0.29466,0.142676,-0.263852,0.142676,-0.146439,0.142676,All
-0.293369,0.14331,-0.260716,0.14331,-0.144112,0.14331,All
-0.292628,0.143944,-0.258921,0.143944,-0.141884,0.143944,All
-0.292028,0.144578,-0.256434,0.144578,-0.141264,0.144578,All
-0.289854,0.145212,-0.256227,0.145212,-0.137885,0.145212,All
-0.289433,0.145847,-0.255525,0.145847,-0.136343,0.145847,All
-0.287816,0.146481,-0.254488,0.146481,-0.135754,0.146481,All
-0.28256,0.147115,-0.25442,0.147115,-0.134569,0.147115,All
-0.281232,0.147749,-0.252456,0.147749,-0.134488,0.147749,All
-0.280995,0.148383,-0.251356,0.148383,-0.128979,0.148383,All
-0.280582,0.149017,-0.250445,0.149017,-0.12887,0.149017,All
-0.280199,0.149651,-0.249242,0.149651,-0.128426,0.149651,All
-0.278396,0.150285,-0.248754,0.150285,-0.123608,0.150285,All
-0.273315,0.150919,-0.247232,0.150919,-0.1227,0.150919,All
-0.27277,0.151554,-0.24605,0.151554,-0.120447,0.151554,All
-0.268932,0.152188,-0.241674,0.152188,-0.119204,0.152188,All
-0.268349,0.152822,-0.241095,0.152822,-0.118587,0.152822,All
-0.264908,0.153456,-0.24109,0.153456,-0.117316,0.153456,All
-0.262483,0.15409,-0.240775,0.15409,-0.115618,0.15409,All
-0.262223,0.154724,-0.240273,0.154724,-0.114814,0.154724,All
-0.261039,0.155358,-0.239273,0.155358,-0.110622,0.155358,All
-0.260729,0.155992,-0.238354,0.155992,-0.108304,0.155992,All
-0.260048,0.156627,-0.237968,0.156627,-0.10817,0.156627,All
-0.256813,0.157261,-0.236352,0.157261,-0.107596,0.157261,All
-0.25538,0.157895,-0.232077,0.157895,-0.105382,0.157895,All
-0.253925,0.158529,-0.231985,0.158529,-0.104874,0.158529,All
-0.250508,0.159163,-0.231705,0.159163,-0.103519,0.159163,All
-0.250111,0.159797,-0.230428,0.159797,-0.0996335,0.159797,All
-0.249058,0.160431,-0.228509,0.160431,-0.0975713,0.160431,All
-0.24387,0.161065,-0.228334,0.161065,-0.0950988,0.161065,All
-0.243731,0.161699,-0.227964,0.161699,-0.0948707,0.161699,All
-0.240412,0.162334,-0.226847,0.162334,-0.0932132,0.162334,All
-0.240167,0.162968,-0.225798,0.162968,-0.0925723,0.162968,All
-0.239317,0.163602,-0.222307,0.163602,-0.0906289,0.163602,All
-0.23435,0.164236,-0.221251,0.164236,-0.0881342,0.164236,All
-0.228416,0.16487,-0.22039,0.16487,-0.0878369,0.16487,All
-0.224905,0.165504,-0.219771,0.165504,-0.0830144,0.165504,All
-0.224554,0.166138,-0.219484,0.166138,-0.0829008,0.166138,All
-0.223422,0.166772,-0.219219,0.166772,-0.0815988,0.166772,All
-0.222151,0.167406,-0.215597,0.167406,-0.0813913,0.167406,All
-0.222058,0.168041,-0.213481,0.168041,-0.0775039,0.168041,All
-0.221558,0.168675,-0.210412,0.168675,-0.0763675,0.168675,All
-0.221332,0.169309,-0.209006,0.169309,-0.0755879,0.169309,All
-0.220662,0.169943,-0.208609,0.169943,-0.0738591,0.169943,All
-0.21799,0.170577,-0.207738,0.170577,-0.0717504,0.170577,All
-0.215973,0.171211,-0.205122,0.171211,-0.0711322,0.171211,All
-0.215274,0.171845,-0.204596,0.171845,-0.0695915,0.171845,All
-0.214417,0.172479,-0.202561,0.172479,-0.0689285,0.172479,All
-0.213571,0.173114,-0.201298,0.173114,-0.0685647,0.173114,All
-0.213426,0.173748,-0.201154,0.173748,-0.0678737,0.173748,All
-0.213049,0.174382,-0.199841,0.174382,-0.0672994,0.174382,All
-0.212235,0.175016,-0.199387,0.175016,-0.0658978,0.175016,All
-0.211727,0.17565,-0.198016,0.17565,-0.0632759,0.17565,All
-0.21141,0.176284,-0.197261,0.176284,-0.0622658,0.176284,All
-0.210155,0.176918,-0.196165,0.176918,-0.0615061,0.176918,All
-0.209015,0.177552,-0.19467,0.177552,-0.0583151,0.177552,All
-0.208843,0.178186,-0.193329,0.178186,-0.0580562,0.178186,All
-0.207652,0.178821,-0.190272,0.178821,-0.0541483,0.178821,All
-0.206546,0.179455,-0.190258,0.179455,-0.052405,0.179455,All
-0.205505,0.180089,-0.189118,0.180089,-0.0485772,0.180089,All
-0.205434,0.180723,-0.189089,0.180723,-0.047655,0.180723,All
-0.203138,0.181357,-0.188825,0.181357,-0.045319,0.181357,All
-0.202744,0.181991,-0.188008,0.181991,-0.0447818,0.181991,All
-0.202161,0.182625,-0.187898,0.182625,-0.0434884,0.182625,All
-0.202146,0.183259,-0.186679,0.183259,-0.0433851,0.183259,All
-0.197362,0.183893,-0.186161,0.183893,-0.042996,0.183893,All
-0.195062,0.184528,-0.181562,0.184528,-0.0409891,0.184528,All
-0.192565,0.185162,-0.179962,0.185162,-0.0407126,0.185162,All
-0.1917,0.185796,-0.179774,0.185796,-0.0400292,0.185796,All
-0.190309,0.18643,-0.179385,0.18643,-0.0392219,0.18643,All
-0.190142,0.187064,-0.179083,0.187064,-0.0337005,0.187064,All
-0.187804,0.187698,-0.178804,0.187698,-0.0325525,0.187698,All
-0.186843,0.188332,-0.173169,0.188332,-0.0319187,0.188332,All
-0.183987,0.188966,-0.171716,0.188966,-0.0311754,0.188966,All
-0.182812,0.189601,-0.169893,0.189601,-0.0270789,0.189601,All
-0.181118,0.190235,-0.168039,0.190235,-0.0259777,0.190235,All
-0.180958,0.190869,-0.166329,0.190869,-0.02576,0.190869,All
-0.180824,0.191503,-0.166037,0.191503,-0.025549,0.191503,All
-0.180413,0.192137,-0.165596,0.192137,-0.023661,0.192137,All
-0.178327,0.192771,-0.163528,0.192771,-0.0226101,0.192771,All
-0.178306,0.193405,-0.162354,0.193405,-0.0225512,0.193405,All
-0.176639,0.194039,-0.159865,0.194039,-0.0206293,0.194039,All
-0.176403,0.194673,-0.159326,0.194673,-0.018946,0.194673,All
-0.175572,0.195308,-0.158685,0.195308,-0.0124876,0.195308,All
-0.174646,0.195942,-0.158307,0.195942,-0.0106449,0.195942,All
-0.172856,0.196576,-0.156675,0.196576,-0.00955424,0.196576,All
-0.172384,0.19721,-0.155671,0.19721,-0.00501729,0.19721,All
-0.17173,0.197844,-0.155123,0.197844,-0.00487041,0.197844,All
-0.168455,0.198478,-0.154682,0.198478,-0.00292569,0.198478,All
-0.166231,0.199112,-0.154519,0.199112,-0.000669589,0.199112,All
-0.165884,0.199746,-0.153209,0.199746,0.00252274,0.199746,All
-0.165498,0.20038,-0.153042,0.20038,0.00324111,0.20038,All
-0.164919,0.201015,-0.148415,0.201015,0.00516567,0.201015,All
-0.163924,0.201649,-0.147873,0.201649,0.00650705,0.201649,All
-0.163794,0.202283,-0.14703,0.202283,0.0112358,0.202283,All
-0.163691,0.202917,-0.146739,0.202917,0.0116774,0.202917,All
-0.158722,0.203551,-0.145589,0.203551,0.0127425,0.203551,All
-0.157512,0.204185,-0.144528,0.204185,0.0144549,0.204185,All
-0.156306,0.204819,-0.143339,0.204819,0.0151667,0.204819,All
-0.149608,0.205453,-0.143247,0.205453,0.0157071,0.205453,All
-0.144863,0.206088,-0.14248,0.206088,0.0221256,0.206088,All
-0.14209,0.206722,-0.138469,0.206722,0.0222458,0.206722,All
-0.139799,0.207356,-0.138469,0.207356,0.0261209,0.207356,All
-0.138918,0.20799,-0.137425,0.20799,0.0263261,0.20799,All
-0.136337,0.208624,-0.136111,0.208624,0.0266828,0.208624,All
-0.131482,0.209258,-0.136068,0.209258,0.0271522,0.209258,All
-0.130351,0.209892,-0.135776,0.209892,0.0272727,0.209892,All
-0.12828,0.210526,-0.1343,0.210526,0.027989,0.210526,All
-0.127039,0.21116,-0.133228,0.21116,0.0296908,0.21116,All
-0.125401,0.211795,-0.133199,0.211795,0.0304125,0.211795,All
-0.12258,0.212429,-0.13168,0.212429,0.0313496,0.212429,All
-0.121453,0.213063,-0.131429,0.213063,0.0316258,0.213063,All
-0.121358,0.213697,-0.128573,0.213697,0.0327814,0.213697,All
-0.119791,0.214331,-0.12798,0.214331,0.0351944,0.214331,All
-0.118394,0.214965,-0.127376,0.214965,0.0363608,0.214965,All
-0.114099,0.215599,-0.122333,0.215599,0.0363748,0.215599,All
-0.109451,0.216233,-0.119466,0.216233,0.0370126,0.216233,All
-0.10938,0.216867,-0.118927,0.216867,0.0395498,0.216867,All
-0.108163,0.217502,-0.117707,0.217502,0.039788,0.217502,All
-0.106718,0.218136,-0.115909,0.218136,0.0419694,0.218136,All
-0.105302,0.21877,-0.115798,0.21877,0.0427066,0.21877,All
-0.104815,0.219404,-0.115381,0.219404,0.0430647,0.219404,All
-0.102946,0.220038,-0.115285,0.220038,0.0436985,0.220038,All
-0.102495,0.220672,-0.114821,0.220672,0.0442701,0.220672,All
-0.101904,0.221306,-0.11376,0.221306,0.0453116,0.221306,All
-0.100745,0.22194,-0.113071,0.22194,0.0465407,0.22194,All
-0.100494,0.222575,-0.112758,0.222575,0.0466885,0.222575,All
