popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
1.58474,16.0348,1.58474,-5.18615,8.35562,0.870186,2.66024,0.870186,-5.9007,7.64107,All
1.88683,15.5924,1.88683,-4.88405,8.65771,1.02624,2.729,1.02624,-5.74464,7.79713,All
2.24651,15.5609,2.24651,-4.52437,9.01739,1.21029,2.81151,1.21029,-5.5606,7.98117,All
2.67475,16.1413,2.67475,-4.09613,9.44564,1.28459,2.85693,1.28459,-5.48629,8.05548,All
2.98261,16.2919,2.98261,-3.78828,9.75349,1.42733,2.94419,1.42733,-5.34355,8.19822,All
3.18463,16.0368,3.18463,-3.58625,9.95551,1.68331,3.12939,1.68331,-5.08758,8.45419,All
3.7917,15.871,3.7917,-2.97918,10.5626,1.98519,3.37031,1.98519,-4.7857,8.75607,All
4.5145,16.0108,4.5145,-2.25638,11.2854,2.34121,3.66927,2.34121,-4.42968,9.11209,All
5.37509,16.4017,5.37509,-1.3958,12.146,2.55258,3.86774,2.55258,-4.21831,9.32346,All
5.94115,16.1935,5.94115,-0.829731,12.712,2.76107,4.06507,2.76107,-4.00981,9.53195,All
