trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_CrCl_abscissa,trans_Cl_vs_CrCl_spline,trans_Cl_vs_CrCl_regression,trans_Cl_vs_CrCl_log_scaled_abscissa,trans_Cl_vs_CrCl_log_scaled_spline,trans_Cl_vs_CrCl_log_scaled_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_Cl_vs_logWT_abscissa,trans_Cl_vs_logWT_spline,trans_Cl_vs_logWT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_CrCl_abscissa,trans_V_vs_CrCl_spline,trans_V_vs_CrCl_regression,trans_V_vs_CrCl_log_scaled_abscissa,trans_V_vs_CrCl_log_scaled_spline,trans_V_vs_CrCl_log_scaled_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,trans_V_vs_logWT_abscissa,trans_V_vs_logWT_spline,trans_V_vs_logWT_regression,split
26.2727,1.37263,1.40679,33.9617,0.515762,0.382463,-2.76163,-1.12465,-1.11416,44.0798,0.338397,0.382571,3.43887,0.267362,0.122802,26.2727,4.34479,4.35701,33.9617,4.34106,4.27866,-2.76163,4.10238,4.05271,44.0798,3.87452,4.00825,3.43887,3.65209,3.63288,All
27,1.38166,1.39131,36.9484,0.380522,0.431804,-2.71826,-1.07809,-1.07301,45.9778,0.321539,0.393831,3.46047,0.249316,0.13413,27,4.33887,4.35631,36.9484,4.21879,4.2877,-2.71826,4.10988,4.0591,45.9778,3.88312,4.02352,3.46047,3.67407,3.64877,All
27.7273,1.36682,1.37583,39.935,0.488406,0.481146,-2.6749,-1.02993,-1.03185,47.8758,0.324693,0.405091,3.48207,0.231271,0.145458,27.7273,4.3254,4.35561,39.935,4.22684,4.29675,-2.6749,4.11738,4.06549,47.8758,3.93485,4.03879,3.48207,3.69604,3.66467,All
28.4545,1.33283,1.36035,42.9216,0.612415,0.530487,-2.63153,-0.980284,-0.990688,49.7737,0.394661,0.416351,3.50367,0.225189,0.156785,28.4545,4.30826,4.3549,42.9216,4.33,4.30579,-2.63153,4.12475,4.07188,49.7737,4.06005,4.05406,3.50367,3.71239,3.68057,All
29.1818,1.28336,1.34488,45.9082,0.711671,0.579828,-2.58817,-0.930694,-0.94953,51.6717,0.321554,0.427611,3.52527,0.223001,0.168113,29.1818,4.2887,4.3542,45.9082,4.36277,4.31484,-2.58817,4.13188,4.07827,51.6717,4.01487,4.06933,3.52527,3.72691,3.69646,All
29.9091,1.22187,1.3294,48.8949,0.855649,0.62917,-2.5448,-0.882026,-0.908371,53.5697,0.314644,0.438871,3.54687,0.220813,0.179441,29.9091,4.2685,4.3535,48.8949,4.34213,4.32388,-2.5448,4.1385,4.08467,53.5697,3.95671,4.0846,3.54687,3.74143,3.71236,All
30.6364,1.16386,1.31392,51.8815,0.894885,0.678511,-2.50144,-0.834559,-0.867212,55.4677,0.497788,0.450131,3.56847,0.224712,0.190769,30.6364,4.25269,4.35279,51.8815,4.37174,4.33293,-2.50144,4.14464,4.09106,55.4677,4.08042,4.09987,3.56847,3.75267,3.72825,All
31.3636,1.11832,1.29844,54.8681,0.855223,0.727853,-2.45807,-0.7892,-0.826053,57.3657,0.394258,0.461391,3.59007,0.232545,0.202097,31.3636,4.24294,4.35209,54.8681,4.32513,4.34197,-2.45807,4.15006,4.09745,57.3657,4.0902,4.11514,3.59007,3.7618,3.74415,All
32.0909,1.08938,1.28296,57.8547,1.07455,0.777194,-2.41471,-0.7465,-0.784894,59.2636,0.468016,0.472651,3.61167,0.240494,0.213425,32.0909,4.24057,4.35139,57.8547,4.38602,4.35102,-2.41471,4.15466,4.10384,59.2636,4.098,4.13041,3.61167,3.77085,3.76004,All
32.8182,1.09293,1.26749,60.8414,1.04725,0.826535,-2.37134,-0.707461,-0.743736,61.1616,0.234076,0.483911,3.63327,0.251673,0.224753,32.8182,4.2518,4.35068,60.8414,4.42875,4.36006,-2.37134,4.1582,4.11023,61.1616,4.14369,4.14568,3.63327,3.77745,3.77594,All
33.5455,1.11381,1.25201,63.828,1.10748,0.875877,-2.32798,-0.670772,-0.702577,63.0596,0.417222,0.495171,3.65487,0.262931,0.23608,33.5455,4.27462,4.34998,63.828,4.4361,4.36911,-2.32798,4.16105,4.11662,63.0596,4.13504,4.16095,3.65487,3.78376,3.79183,All
34.2727,1.14133,1.23653,66.8146,1.07094,0.925218,-2.28461,-0.637609,-0.661418,64.9576,0.564028,0.506431,3.67647,0.274105,0.247408,34.2727,4.30662,4.34927,66.8146,4.27938,4.37815,-2.28461,4.16279,4.12302,64.9576,4.25976,4.17622,3.67647,3.78933,3.80773,All
