iteration,convergenceIndicator,phase,V_pop,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtCreatinine,omega_V,omega_Cl,b
124,11926.3,1,73.6459,0.646668,1.21585,0.498259,-0.88213,-0.864414,0.514647,0.67828,0.212325
125,11883.4,1,73.2287,0.659791,1.19445,0.533519,-0.844843,-0.872038,0.516725,0.661106,0.211179
126,11822.4,1,73.7622,0.688687,1.25922,0.49647,-0.834102,-0.845005,0.509699,0.649682,0.212377
127,11908.4,1,74.7685,0.633877,1.23362,0.49537,-0.824961,-0.798812,0.528939,0.659998,0.210667
128,11852.4,1,74.566,0.692044,1.21874,0.503969,-0.860337,-0.802856,0.520054,0.675931,0.206398
129,11856.1,1,73.8398,0.714643,1.23635,0.452289,-0.855144,-0.836436,0.517319,0.687419,0.204606
130,11873.1,1,74.0268,0.702187,1.259,0.425818,-0.920335,-0.824234,0.534562,0.673526,0.204631
131,11794.7,1,74.5652,0.675753,1.29121,0.405907,-0.988743,-0.844089,0.521027,0.663728,0.206746
132,11745.8,1,73.3033,0.63417,1.22659,0.486927,-0.841793,-0.885991,0.525599,0.647534,0.200497
133,11793.9,1,73.6829,0.671479,1.21082,0.477014,-0.911793,-0.882892,0.533114,0.642251,0.203425
134,11792.4,1,72.2798,0.689871,1.27571,0.42674,-0.869521,-0.845779,0.530054,0.639217,0.205165
135,11718.2,1,72.9133,0.679186,1.28353,0.463753,-0.959184,-0.809085,0.533495,0.623031,0.205753
136,11851.6,1,74.0483,0.679867,1.24579,0.474755,-0.850764,-0.837772,0.527895,0.644386,0.209197
137,11861.1,1,73.6391,0.800687,1.2305,0.455284,-0.945977,-0.865593,0.520301,0.647055,0.211538
138,11916.2,1,74.1887,0.764663,1.21973,0.477027,-0.882529,-0.876149,0.524826,0.655305,0.211818
139,11870.2,1,76.2957,0.692687,1.20509,0.500293,-0.924763,-0.833439,0.535868,0.648422,0.20908
140,11819.8,1,76.1745,0.685501,1.23874,0.460296,-0.946517,-0.816465,0.545018,0.638297,0.20521
141,11931.3,1,76.3887,0.666568,1.25052,0.444603,-0.904945,-0.859984,0.547256,0.667741,0.206345
