iteration,convergenceIndicator,phase,V_pop,beta_V_logtHb,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtBUN,beta_Cl_logtCreatinine,beta_Cl_logtHCO3,beta_Cl_logtHCT,beta_Cl_logtHb,beta_Cl_logtK,beta_Cl_logtP,omega_V,omega_Cl,b
90,11620.5,1,75.0581,0.313227,0.543153,1.37031,0.333851,-0.729059,-0.291477,-0.561116,0.266562,-1.41309,2.25196,0.463494,-0.168905,0.525965,0.624392,0.20076
91,11623.8,1,74.4186,0.326812,0.60636,1.39399,0.305973,-0.748361,-0.261695,-0.553801,0.324293,-1.51114,2.31596,0.443498,-0.178743,0.533553,0.623617,0.199211
92,11648.6,1,74.4818,0.285462,0.627096,1.36841,0.316059,-0.759606,-0.249537,-0.567567,0.337972,-1.67147,2.46365,0.401301,-0.19634,0.520043,0.615786,0.206005
93,11699.3,1,72.9291,0.128809,0.600922,1.3583,0.320749,-0.724979,-0.233448,-0.556376,0.342789,-1.75508,2.65369,0.275885,-0.179136,0.50809,0.607149,0.211977
94,11714.2,1,74.4303,0.165887,0.56256,1.31569,0.392251,-0.789424,-0.217537,-0.597769,0.294188,-1.58542,2.48126,0.315642,-0.170584,0.514572,0.603381,0.213859
95,11728.1,1,75.3922,0.177153,0.588644,1.31509,0.394721,-0.797353,-0.209499,-0.642468,0.313115,-1.22503,2.04777,0.331566,-0.130275,0.530398,0.592868,0.21181
96,11683.7,1,75.6851,0.200423,0.536666,1.27868,0.430438,-0.794029,-0.203652,-0.662417,0.345406,-1.47189,2.24227,0.400962,-0.131467,0.542972,0.593056,0.20611
97,11664.8,1,74.9925,0.229782,0.592638,1.3195,0.404385,-0.730262,-0.247507,-0.611032,0.3158,-1.06431,1.87883,0.422851,-0.177587,0.533455,0.594758,0.208218
98,11679.3,1,73.8687,0.307958,0.518404,1.3335,0.395062,-0.697395,-0.288948,-0.583828,0.372771,-1.04231,1.78245,0.537177,-0.142624,0.530344,0.596146,0.207248
99,11680.5,1,74.9581,0.358499,0.509465,1.36219,0.324755,-0.756575,-0.300149,-0.534525,0.379292,-1.25051,1.84611,0.435055,-0.151866,0.534721,0.603941,0.205455
100,11558.6,1,74.8365,0.422981,0.540643,1.35104,0.35736,-0.792627,-0.250417,-0.573213,0.384106,-1.17478,1.85555,0.430257,-0.162361,0.521182,0.604212,0.202901
101,11660.2,1,73.7971,0.454987,0.56346,1.35937,0.342873,-0.814526,-0.267176,-0.622904,0.29321,-0.936091,1.69347,0.626755,-0.217329,0.527826,0.60342,0.207428
102,11681.4,1,74.0688,0.348401,0.594157,1.35643,0.354713,-0.7516,-0.212292,-0.653602,0.307462,-1.0964,1.89773,0.615546,-0.240915,0.52829,0.600913,0.208829
103,11567.2,1,75.0096,0.367509,0.541762,1.39068,0.345466,-0.714698,-0.270655,-0.58516,0.429502,-1.00403,1.78084,0.616076,-0.288682,0.514914,0.605362,0.206833
104,11591,1,75.0413,0.313108,0.543648,1.38435,0.329585,-0.775048,-0.290139,-0.571944,0.450172,-1.27581,1.99838,0.668677,-0.231376,0.510342,0.591035,0.209031
105,11556.2,1,74.4282,0.31907,0.488846,1.35198,0.372601,-0.75724,-0.251621,-0.596671,0.329687,-1.53915,2.31235,0.57503,-0.215429,0.509505,0.59274,0.206634
106,11613.6,1,74.3818,0.308527,0.464313,1.39131,0.345342,-0.767478,-0.222458,-0.584641,0.325052,-1.11536,1.81254,0.4753,-0.244593,0.504717,0.605426,0.208656
107,11575.5,1,74.518,0.244221,0.539022,1.33072,0.407152,-0.757501,-0.22782,-0.637005,0.355558,-1.34013,2.07159,0.463439,-0.167096,0.49402,0.612264,0.207593
108,11482,1,74.5844,0.369655,0.523773,1.3378,0.425435,-0.840795,-0.226863,-0.620872,0.373169,-1.30356,2.0087,0.460548,-0.170004,0.494254,0.606335,0.204104
