pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.14209,0.514902,0.123743,0.515536,0.0566627,0.514902,All
-0.141478,0.515536,0.124507,0.51617,0.0572843,0.515536,All
-0.141396,0.51617,0.124703,0.516804,0.0579539,0.51617,All
-0.13986,0.516804,0.1274,0.517438,0.0584274,0.516804,All
-0.136741,0.517438,0.12786,0.518072,0.0586217,0.517438,All
-0.135917,0.518072,0.128991,0.518706,0.058838,0.518072,All
-0.134593,0.518706,0.129577,0.519341,0.0604558,0.518706,All
-0.132364,0.519341,0.12987,0.519975,0.0624514,0.519341,All
-0.131256,0.519975,0.129931,0.520609,0.0624752,0.519975,All
-0.130729,0.520609,0.130815,0.521243,0.0626431,0.520609,All
-0.129554,0.521243,0.131813,0.521877,0.0635914,0.521243,All
-0.127943,0.521877,0.132823,0.522511,0.0681859,0.521877,All
-0.127569,0.522511,0.133968,0.523145,0.0682803,0.522511,All
-0.123413,0.523145,0.137389,0.523779,0.0694317,0.523145,All
-0.122165,0.523779,0.139849,0.524413,0.0711266,0.523779,All
-0.119262,0.524413,0.140742,0.525048,0.0716829,0.524413,All
-0.11853,0.525048,0.140839,0.525682,0.0785835,0.525048,All
-0.117937,0.525682,0.141619,0.526316,0.079076,0.525682,All
-0.114496,0.526316,0.141933,0.52695,0.0833367,0.526316,All
-0.112743,0.52695,0.141954,0.527584,0.0878054,0.52695,All
-0.109713,0.527584,0.143279,0.528218,0.0884484,0.527584,All
-0.108971,0.528218,0.145006,0.528852,0.0924193,0.528218,All
-0.104807,0.528852,0.147091,0.529486,0.0967486,0.528852,All
-0.103541,0.529486,0.147401,0.53012,0.0975195,0.529486,All
-0.0983553,0.53012,0.147467,0.530755,0.0983747,0.53012,All
-0.0953373,0.530755,0.148145,0.531389,0.099427,0.530755,All
-0.0949452,0.531389,0.1484,0.532023,0.104002,0.531389,All
-0.0936642,0.532023,0.149018,0.532657,0.105226,0.532023,All
-0.0933195,0.532657,0.149696,0.533291,0.113133,0.532657,All
-0.0903257,0.533291,0.150412,0.533925,0.113451,0.533291,All
-0.0873691,0.533925,0.150894,0.534559,0.114483,0.533925,All
-0.0853455,0.534559,0.15214,0.535193,0.116321,0.534559,All
-0.0841644,0.535193,0.152187,0.535828,0.117274,0.535193,All
-0.0832059,0.535828,0.153116,0.536462,0.118894,0.535828,All
-0.0792819,0.536462,0.15531,0.537096,0.123681,0.536462,All
-0.0784239,0.537096,0.156857,0.53773,0.123793,0.537096,All
-0.0772856,0.53773,0.158819,0.538364,0.130307,0.53773,All
-0.07633,0.538364,0.159331,0.538998,0.133502,0.538364,All
-0.0738578,0.538998,0.160903,0.539632,0.135718,0.538998,All
-0.0708896,0.539632,0.160951,0.540266,0.135842,0.539632,All
-0.0708624,0.540266,0.16136,0.5409,0.136724,0.540266,All
-0.0705311,0.5409,0.161813,0.541535,0.138953,0.5409,All
-0.0692403,0.541535,0.163664,0.542169,0.141753,0.541535,All
-0.0690057,0.542169,0.165361,0.542803,0.1432,0.542169,All
-0.0681434,0.542803,0.165514,0.543437,0.143287,0.542803,All
-0.0590777,0.543437,0.166778,0.544071,0.144318,0.543437,All
-0.0589393,0.544071,0.168142,0.544705,0.14566,0.544071,All
-0.0569472,0.544705,0.169474,0.545339,0.145733,0.544705,All
-0.0544999,0.545339,0.170061,0.545973,0.147404,0.545339,All
-0.0541198,0.545973,0.170918,0.546607,0.148002,0.545973,All
-0.0509588,0.546607,0.171598,0.547242,0.14895,0.546607,All
-0.0483299,0.547242,0.172086,0.547876,0.152234,0.547242,All
-0.0479153,0.547876,0.172728,0.54851,0.152427,0.547876,All
-0.0476404,0.54851,0.172874,0.549144,0.157934,0.54851,All
-0.0475293,0.549144,0.174505,0.549778,0.158982,0.549144,All
-0.0472101,0.549778,0.175174,0.550412,0.162086,0.549778,All
-0.0450936,0.550412,0.176314,0.551046,0.163945,0.550412,All
-0.0437514,0.551046,0.177243,0.55168,0.165391,0.551046,All
-0.0409101,0.55168,0.178605,0.552315,0.168008,0.55168,All
-0.0393152,0.552315,0.178808,0.552949,0.170637,0.552315,All
-0.038882,0.552949,0.179194,0.553583,0.171848,0.552949,All
