pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.701828,0.244769,-0.0855418,0.245403,-0.712133,0.244769,All
-0.701645,0.245403,-0.0848203,0.246037,-0.710726,0.245403,All
-0.69888,0.246037,-0.0846623,0.246671,-0.70757,0.246037,All
-0.698712,0.246671,-0.0844582,0.247305,-0.70706,0.246671,All
-0.698576,0.247305,-0.0836821,0.247939,-0.706196,0.247305,All
-0.696765,0.247939,-0.0834196,0.248573,-0.705901,0.247939,All
-0.696666,0.248573,-0.0830646,0.249207,-0.704689,0.248573,All
-0.695845,0.249207,-0.0826116,0.249841,-0.703137,0.249207,All
-0.694791,0.249841,-0.08252,0.250476,-0.701091,0.249841,All
-0.69357,0.250476,-0.081591,0.25111,-0.698765,0.250476,All
-0.692755,0.25111,-0.0809494,0.251744,-0.69348,0.25111,All
-0.691669,0.251744,-0.0807551,0.252378,-0.692426,0.251744,All
-0.689389,0.252378,-0.0805746,0.253012,-0.690482,0.252378,All
-0.688971,0.253012,-0.0800958,0.253646,-0.688784,0.253012,All
-0.688338,0.253646,-0.079482,0.25428,-0.688634,0.253646,All
-0.687624,0.25428,-0.0792694,0.254914,-0.68808,0.25428,All
-0.686853,0.254914,-0.0787238,0.255549,-0.686101,0.254914,All
-0.686788,0.255549,-0.0782335,0.256183,-0.683675,0.255549,All
-0.686119,0.256183,-0.0778418,0.256817,-0.678044,0.256183,All
-0.684349,0.256817,-0.0771104,0.257451,-0.677963,0.256817,All
-0.681402,0.257451,-0.0767927,0.258085,-0.675685,0.257451,All
-0.680896,0.258085,-0.0767796,0.258719,-0.674908,0.258085,All
-0.679228,0.258719,-0.0765065,0.259353,-0.670972,0.258719,All
-0.679226,0.259353,-0.0758972,0.259987,-0.669855,0.259353,All
-0.678922,0.259987,-0.0747812,0.260621,-0.669842,0.259987,All
-0.677383,0.260621,-0.0747082,0.261256,-0.669042,0.260621,All
-0.673612,0.261256,-0.0740614,0.26189,-0.668669,0.261256,All
-0.672213,0.26189,-0.0729237,0.262524,-0.659084,0.26189,All
-0.670494,0.262524,-0.0718548,0.263158,-0.657263,0.262524,All
-0.670479,0.263158,-0.0712495,0.263792,-0.655194,0.263158,All
-0.668115,0.263792,-0.071201,0.264426,-0.654571,0.263792,All
-0.665785,0.264426,-0.0695822,0.26506,-0.652596,0.264426,All
-0.663863,0.26506,-0.0695563,0.265694,-0.65107,0.26506,All
-0.660999,0.265694,-0.0694279,0.266328,-0.647292,0.265694,All
-0.659452,0.266328,-0.0687124,0.266963,-0.643515,0.266328,All
-0.658821,0.266963,-0.0683119,0.267597,-0.627418,0.266963,All
-0.658246,0.267597,-0.0680921,0.268231,-0.625649,0.267597,All
-0.658078,0.268231,-0.0673131,0.268865,-0.625619,0.268231,All
-0.657591,0.268865,-0.0650009,0.269499,-0.625584,0.268865,All
-0.657318,0.269499,-0.0649888,0.270133,-0.624574,0.269499,All
-0.654353,0.270133,-0.0646858,0.270767,-0.623601,0.270133,All
-0.652943,0.270767,-0.0646507,0.271401,-0.623186,0.270767,All
-0.652408,0.271401,-0.0646212,0.272036,-0.617269,0.271401,All
-0.651657,0.272036,-0.063686,0.27267,-0.614438,0.272036,All
-0.649892,0.27267,-0.0635933,0.273304,-0.61385,0.27267,All
-0.649048,0.273304,-0.0633107,0.273938,-0.610555,0.273304,All
-0.646916,0.273938,-0.0627121,0.274572,-0.608048,0.273938,All
-0.644508,0.274572,-0.062505,0.275206,-0.604498,0.274572,All
-0.641279,0.275206,-0.062286,0.27584,-0.603385,0.275206,All
-0.639524,0.27584,-0.061498,0.276474,-0.602378,0.27584,All
-0.63928,0.276474,-0.0614285,0.277108,-0.602124,0.276474,All
-0.634711,0.277108,-0.061287,0.277743,-0.600458,0.277108,All
-0.634027,0.277743,-0.0610608,0.278377,-0.597821,0.277743,All
-0.63332,0.278377,-0.0607129,0.279011,-0.596034,0.278377,All
-0.632873,0.279011,-0.0606941,0.279645,-0.594444,0.279011,All
-0.632796,0.279645,-0.0601139,0.280279,-0.591416,0.279645,All
-0.632733,0.280279,-0.0596749,0.280913,-0.587347,0.280279,All
-0.63125,0.280913,-0.0593483,0.281547,-0.581208,0.280913,All
-0.631161,0.281547,-0.0591,0.282181,-0.580392,0.281547,All
-0.630353,0.282181,-0.0584577,0.282815,-0.579803,0.282181,All
-0.626767,0.282815,-0.0578499,0.28345,-0.579256,0.282815,All
-0.623365,0.28345,-0.055756,0.284084,-0.57584,0.28345,All
-0.621397,0.284084,-0.0548049,0.284718,-0.57568,0.284084,All
-0.619865,0.284718,-0.0532124,0.285352,-0.569705,0.284718,All
-0.619249,0.285352,-0.0526589,0.285986,-0.564679,0.285352,All
-0.61853,0.285986,-0.0518086,0.28662,-0.564263,0.285986,All
-0.617728,0.28662,-0.0512348,0.287254,-0.562782,0.28662,All
-0.616823,0.287254,-0.0506012,0.287888,-0.560969,0.287254,All
-0.615847,0.287888,-0.049444,0.288523,-0.558927,0.287888,All
-0.615705,0.288523,-0.049394,0.289157,-0.558379,0.288523,All
-0.611967,0.289157,-0.0493113,0.289791,-0.558176,0.289157,All
-0.610007,0.289791,-0.0491198,0.290425,-0.553547,0.289791,All
-0.608329,0.290425,-0.0480206,0.291059,-0.55352,0.290425,All
-0.608268,0.291059,-0.0477387,0.291693,-0.552952,0.291059,All
-0.607736,0.291693,-0.0471574,0.292327,-0.550765,0.291693,All
-0.607574,0.292327,-0.0469828,0.292961,-0.55052,0.292327,All
-0.607109,0.292961,-0.0448657,0.293595,-0.547311,0.292961,All
-0.602898,0.293595,-0.0445796,0.29423,-0.546481,0.293595,All
-0.602068,0.29423,-0.0444854,0.294864,-0.541703,0.29423,All
-0.600157,0.294864,-0.0442589,0.295498,-0.537998,0.294864,All
-0.599788,0.295498,-0.0441269,0.296132,-0.530516,0.295498,All
-0.598481,0.296132,-0.0432332,0.296766,-0.528122,0.296132,All
-0.597661,0.296766,-0.0428394,0.2974,-0.526569,0.296766,All
-0.596252,0.2974,-0.0426093,0.298034,-0.526543,0.2974,All
-0.593773,0.298034,-0.0425347,0.298668,-0.52654,0.298034,All
-0.593559,0.298668,-0.0420218,0.299302,-0.526018,0.298668,All
-0.590726,0.299302,-0.0415423,0.299937,-0.525812,0.299302,All
-0.590622,0.299937,-0.0414568,0.300571,-0.524286,0.299937,All
-0.590468,0.300571,-0.040752,0.301205,-0.523163,0.300571,All
-0.589308,0.301205,-0.0402549,0.301839,-0.520443,0.301205,All
-0.589256,0.301839,-0.0397962,0.302473,-0.519405,0.301839,All
-0.586494,0.302473,-0.0384681,0.303107,-0.516952,0.302473,All
-0.585016,0.303107,-0.0377095,0.303741,-0.515798,0.303107,All
-0.584818,0.303741,-0.0350391,0.304375,-0.511417,0.303741,All
-0.584538,0.304375,-0.0349331,0.30501,-0.511132,0.304375,All
-0.58264,0.30501,-0.0338534,0.305644,-0.509432,0.30501,All
-0.581925,0.305644,-0.0329675,0.306278,-0.502042,0.305644,All
-0.580492,0.306278,-0.0311243,0.306912,-0.501729,0.306278,All
-0.578315,0.306912,-0.0302128,0.307546,-0.500024,0.306912,All
-0.575733,0.307546,-0.0297638,0.30818,-0.497969,0.307546,All
-0.572953,0.30818,-0.0293514,0.308814,-0.493797,0.30818,All
-0.572807,0.308814,-0.02928,0.309448,-0.493365,0.308814,All
-0.57222,0.309448,-0.0290776,0.310082,-0.493202,0.309448,All
-0.570558,0.310082,-0.0287912,0.310717,-0.492329,0.310082,All
-0.570039,0.310717,-0.028057,0.311351,-0.491841,0.310717,All
-0.569146,0.311351,-0.0280171,0.311985,-0.491539,0.311351,All
-0.568811,0.311985,-0.0259948,0.312619,-0.490792,0.311985,All
-0.56874,0.312619,-0.025941,0.313253,-0.490016,0.312619,All
-0.566166,0.313253,-0.0253442,0.313887,-0.489769,0.313253,All
-0.565794,0.313887,-0.0251921,0.314521,-0.486647,0.313887,All
-0.565663,0.314521,-0.0251458,0.315155,-0.482715,0.314521,All
-0.565068,0.315155,-0.0244832,0.315789,-0.475805,0.315155,All
-0.564396,0.315789,-0.0243074,0.316424,-0.475531,0.315789,All
-0.562699,0.316424,-0.0236714,0.317058,-0.474462,0.316424,All
-0.562661,0.317058,-0.0219497,0.317692,-0.474119,0.317058,All
-0.559822,0.317692,-0.0198626,0.318326,-0.473803,0.317692,All
-0.55914,0.318326,-0.0185285,0.31896,-0.472193,0.318326,All
