standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.0212421,0.614386,0.299715,0.614386,All
0.0216323,0.615385,0.301534,0.615385,All
0.0219477,0.616384,0.304869,0.616384,All
0.0238801,0.617383,0.305902,0.617383,All
0.0240277,0.618382,0.306614,0.618382,All
0.0244342,0.619381,0.306927,0.619381,All
0.0262542,0.62038,0.30779,0.62038,All
0.0267908,0.621379,0.307815,0.621379,All
0.0277004,0.622378,0.309921,0.622378,All
0.0283942,0.623377,0.311136,0.623377,All
0.0306639,0.624376,0.312777,0.624376,All
0.032351,0.625375,0.313105,0.625375,All
0.0326099,0.626374,0.314606,0.626374,All
0.0335472,0.627373,0.316499,0.627373,All
0.0344434,0.628372,0.316987,0.628372,All
0.0350711,0.629371,0.319466,0.629371,All
0.0369303,0.63037,0.319729,0.63037,All
0.0391676,0.631369,0.319845,0.631369,All
0.041244,0.632368,0.320271,0.632368,All
0.0443152,0.633367,0.321145,0.633367,All
0.0445648,0.634366,0.321978,0.634366,All
0.045599,0.635365,0.32356,0.635365,All
0.049765,0.636364,0.323953,0.636364,All
0.0502408,0.637363,0.324043,0.637363,All
0.0504458,0.638362,0.325448,0.638362,All
0.0513584,0.639361,0.3281,0.639361,All
0.0515673,0.64036,0.331273,0.64036,All
0.052075,0.641359,0.331817,0.641359,All
0.0522374,0.642358,0.335327,0.642358,All
0.0537667,0.643357,0.33603,0.643357,All
0.0544542,0.644356,0.343473,0.644356,All
0.0578164,0.645355,0.343582,0.645355,All
0.0581004,0.646354,0.345107,0.646354,All
0.0582048,0.647353,0.346876,0.647353,All
0.0585144,0.648352,0.351923,0.648352,All
0.0587711,0.649351,0.352475,0.649351,All
0.0592417,0.65035,0.352999,0.65035,All
0.0640687,0.651349,0.35308,0.651349,All
0.0641615,0.652348,0.353346,0.652348,All
0.0648909,0.653347,0.355414,0.653347,All
0.0651402,0.654346,0.355966,0.654346,All
0.0665959,0.655345,0.358383,0.655345,All
0.0704125,0.656344,0.360028,0.656344,All
0.0726927,0.657343,0.360778,0.657343,All
0.0739635,0.658342,0.366146,0.658342,All
0.0772985,0.659341,0.370359,0.659341,All
0.0775264,0.66034,0.370781,0.66034,All
0.077843,0.661339,0.37212,0.661339,All
0.0783671,0.662338,0.373181,0.662338,All
0.0783845,0.663337,0.373864,0.663337,All
0.0791789,0.664336,0.377546,0.664336,All
0.0803854,0.665335,0.383018,0.665335,All
0.0804168,0.666334,0.388032,0.666334,All
0.0813828,0.667333,0.388106,0.667333,All
0.0816842,0.668332,0.389622,0.668332,All
0.0828023,0.669331,0.390522,0.669331,All
0.0845348,0.67033,0.394443,0.67033,All
0.0852728,0.671329,0.396288,0.671329,All
0.0859957,0.672328,0.399132,0.672328,All
0.0867091,0.673327,0.399414,0.673327,All
0.08741,0.674326,0.402595,0.674326,All
0.0878417,0.675325,0.405837,0.675325,All
0.0886587,0.676324,0.405878,0.676324,All
0.0921736,0.677323,0.408405,0.677323,All
0.0929042,0.678322,0.408824,0.678322,All
0.0945336,0.679321,0.409278,0.679321,All
0.0968506,0.68032,0.411463,0.68032,All
0.0976372,0.681319,0.41219,0.681319,All
