standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.258924,0.784216,0.965149,0.784216,All
0.259352,0.785215,0.965863,0.785215,All
0.262986,0.786214,0.966422,0.786214,All
0.264885,0.787213,0.969969,0.787213,All
0.266304,0.788212,0.971868,0.788212,All
0.270776,0.789211,0.97225,0.789211,All
0.272531,0.79021,0.973839,0.79021,All
0.278704,0.791209,0.9765,0.791209,All
0.284011,0.792208,0.992157,0.792208,All
0.284841,0.793207,0.992234,0.793207,All
0.286222,0.794206,0.992506,0.794206,All
0.289219,0.795205,0.994226,0.795205,All
0.289326,0.796204,1.00328,0.796204,All
0.294991,0.797203,1.00441,0.797203,All
0.297682,0.798202,1.00515,0.798202,All
0.299017,0.799201,1.00613,0.799201,All
0.299249,0.8002,1.0104,0.8002,All
0.299683,0.801199,1.01834,0.801199,All
0.301032,0.802198,1.01884,0.802198,All
0.304764,0.803197,1.02171,0.803197,All
0.305259,0.804196,1.02737,0.804196,All
0.306771,0.805195,1.03202,0.805195,All
0.309276,0.806194,1.03288,0.806194,All
0.310794,0.807193,1.0346,0.807193,All
0.311523,0.808192,1.03514,0.808192,All
0.317445,0.809191,1.03544,0.809191,All
0.318427,0.81019,1.03641,0.81019,All
0.319709,0.811189,1.04566,0.811189,All
0.323592,0.812188,1.04667,0.812188,All
0.325545,0.813187,1.04935,0.813187,All
0.325756,0.814186,1.05042,0.814186,All
0.327006,0.815185,1.05168,0.815185,All
0.329224,0.816184,1.05514,0.816184,All
0.331646,0.817183,1.05546,0.817183,All
0.33493,0.818182,1.05615,0.818182,All
0.338241,0.819181,1.05874,0.819181,All
0.33841,0.82018,1.07135,0.82018,All
0.339266,0.821179,1.07228,0.821179,All
0.340041,0.822178,1.07333,0.822178,All
0.347745,0.823177,1.0858,0.823177,All
0.349247,0.824176,1.08834,0.824176,All
0.356326,0.825175,1.09935,0.825175,All
0.357243,0.826174,1.10456,0.826174,All
0.357417,0.827173,1.12597,0.827173,All
0.361813,0.828172,1.12649,0.828172,All
0.362409,0.829171,1.13278,0.829171,All
0.368765,0.83017,1.13411,0.83017,All
0.368782,0.831169,1.13457,0.831169,All
0.369114,0.832168,1.13653,0.832168,All
0.377295,0.833167,1.14044,0.833167,All
0.388592,0.834166,1.15248,0.834166,All
0.38887,0.835165,1.15913,0.835165,All
0.390204,0.836164,1.16316,0.836164,All
0.390266,0.837163,1.16677,0.837163,All
0.393813,0.838162,1.1683,0.838162,All
0.394944,0.839161,1.16998,0.839161,All
0.395146,0.84016,1.17086,0.84016,All
0.397232,0.841159,1.17178,0.841159,All
0.40162,0.842158,1.17897,0.842158,All
0.405443,0.843157,1.18457,0.843157,All
0.408965,0.844156,1.1913,0.844156,All
0.416602,0.845155,1.19192,0.845155,All
0.417099,0.846154,1.1982,0.846154,All
0.418055,0.847153,1.20182,0.847153,All
0.420266,0.848152,1.20234,0.848152,All
0.425991,0.849151,1.21128,0.849151,All
0.429419,0.85015,1.21528,0.85015,All
0.437196,0.851149,1.21566,0.851149,All
0.445576,0.852148,1.21685,0.852148,All
0.449789,0.853147,1.22139,0.853147,All
0.452065,0.854146,1.22567,0.854146,All
