iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,b
301,12815.4,2,80.6157,1.50871,0.599518,0.898396,0.207654
302,12826.4,2,80.6133,1.50842,0.599702,0.898463,0.207712
303,12784.3,2,80.6116,1.50866,0.599809,0.898324,0.207756
304,12630,2,80.5991,1.50959,0.599745,0.89829,0.207686
305,12691,2,80.5915,1.51004,0.599485,0.898593,0.207683
306,12755.6,2,80.5945,1.50989,0.599131,0.899036,0.207721
307,12677.2,2,80.5987,1.50967,0.598616,0.899405,0.207706
308,12856.7,2,80.5986,1.50959,0.59868,0.89966,0.207771
309,12701.5,2,80.5957,1.50963,0.598713,0.899624,0.207744
310,12708.1,2,80.5763,1.50997,0.598615,0.899814,0.207722
311,12691.9,2,80.5738,1.5105,0.598568,0.899771,0.207759
312,12866,2,80.562,1.51076,0.598558,0.899656,0.207914
313,12735.2,2,80.5559,1.51011,0.598614,0.899739,0.207878
314,12708.9,2,80.5259,1.51034,0.598545,0.899769,0.207875
315,12665.8,2,80.4998,1.51038,0.59846,0.899838,0.207816
316,12806.8,2,80.4889,1.50994,0.598655,0.900036,0.20781
317,12702.6,2,80.4673,1.51025,0.598735,0.900031,0.207766
318,12680.9,2,80.4515,1.51091,0.598553,0.900035,0.207758
319,12656.2,2,80.436,1.5114,0.598515,0.899808,0.207746
320,12761.6,2,80.4271,1.51077,0.598377,0.899916,0.207792
321,12668,2,80.4158,1.51024,0.598153,0.900089,0.207757
322,12815.7,2,80.4466,1.50988,0.598222,0.900357,0.207777
323,12794.6,2,80.4825,1.50916,0.598169,0.900689,0.207806
324,12777.3,2,80.4963,1.50848,0.598341,0.90049,0.207835
325,12744.8,2,80.4911,1.50822,0.598353,0.900417,0.207831
326,12698.7,2,80.4917,1.50804,0.598253,0.900576,0.207807
327,12633.7,2,80.4954,1.5084,0.598215,0.900552,0.207783
328,12729.4,2,80.4736,1.50863,0.598223,0.900375,0.207814
329,12673,2,80.4567,1.50912,0.598129,0.899994,0.207851
330,12743.9,2,80.4265,1.50922,0.598157,0.899949,0.207849
331,12883.5,2,80.4123,1.50889,0.598142,0.900226,0.207917
332,12815.5,2,80.3978,1.50851,0.598283,0.90049,0.207897
