time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
156.717,-0.229317,156.717,-0.0145419,156.717,-0.226881,34.184,-0.734979,30.5487,0.13302,34.184,-0.694093,All
163.756,-0.260257,163.756,-0.019816,163.756,-0.254966,34.269,-0.741281,30.6387,0.138149,34.269,-0.701806,All
169.778,-0.287091,169.778,-0.0240116,169.778,-0.279046,35.7328,-0.832192,31.6806,0.137461,35.7328,-0.796911,All
170.795,-0.291623,170.795,-0.0247001,170.795,-0.283092,37.1966,-0.902105,32.7051,0.0874581,37.1966,-0.847862,All
177.833,-0.322842,177.833,-0.0293943,177.833,-0.310876,37.6353,-0.923892,32.8124,0.0824438,37.6353,-0.864732,All
184.872,-0.352919,184.872,-0.0337286,184.872,-0.337123,38.6604,-0.982225,33.9443,0.0432849,38.6604,-0.91931,All
188.554,-0.367993,188.554,-0.0358867,188.554,-0.350067,40.1242,-1.07583,34.9108,0.0263699,40.1242,-1.01879,All
191.911,-0.381108,191.911,-0.0377896,191.911,-0.361157,41.4351,-1.15836,35.0762,0.024677,41.4351,-1.10619,All
198.949,-0.406819,198.949,-0.0416036,198.949,-0.382398,41.588,-1.16761,36.2081,0.019975,41.588,-1.11568,All
205.988,-0.429641,205.988,-0.0452168,205.988,-0.400473,43.0518,-1.25143,37.2652,0.0223564,43.0518,-1.19798,All
209.406,-0.439361,209.406,-0.0468872,209.406,-0.407767,44.5156,-1.32968,37.34,0.0226468,44.5156,-1.27072,All
213.027,-0.448761,213.027,-0.0486066,213.027,-0.414522,45.6185,-1.3865,38.4719,0.0280401,45.6185,-1.3225,All
220.065,-0.464304,220.065,-0.0518101,220.065,-0.424711,45.9794,-1.40492,39.6037,0.0353995,45.9794,-1.33935,All
227.104,-0.477482,227.104,-0.0549153,227.104,-0.432369,47.4432,-1.47931,39.7785,0.0367047,47.4432,-1.40827,All
232.564,-0.486077,232.564,-0.0572619,232.564,-0.436572,48.907,-1.55316,40.7356,0.0445413,48.907,-1.47795,All
234.143,-0.488561,234.143,-0.0579404,234.143,-0.437788,50.2244,-1.61922,41.8675,0.0551423,50.2244,-1.54103,All
241.181,-0.498841,241.181,-0.0609483,241.181,-0.442366,50.3708,-1.62653,42.4613,0.0610631,50.3708,-1.54806,All
248.22,-0.50688,248.22,-0.0639347,248.22,-0.444612,51.8346,-1.69946,42.9994,0.0665252,51.8346,-1.61835,All
255.259,-0.513999,255.259,-0.0669637,255.259,-0.445949,53.2984,-1.77188,44.1313,0.0790146,53.2984,-1.68852,All
258.283,-0.516893,258.283,-0.0682826,258.283,-0.446368,54.7622,-1.8439,45.2632,0.092209,54.7622,-1.75834,All
262.297,-0.520622,262.297,-0.0700777,262.297,-0.44685,55.2952,-1.86999,45.3249,0.0929321,55.2952,-1.78357,All
269.336,-0.527123,269.336,-0.0733141,269.336,-0.447738,56.226,-1.91515,46.395,0.10548,56.226,-1.82576,All
276.375,-0.534238,276.375,-0.0767719,276.375,-0.449462,57.6898,-1.98502,47.5269,0.11888,57.6898,-1.88655,All
283.413,-0.541588,283.413,-0.0803143,283.413,-0.451506,59.1536,-2.05488,48.3818,0.128876,59.1536,-1.94733,All
286.847,-0.545661,286.847,-0.0821426,286.847,-0.453097,60.6174,-2.12475,48.6588,0.132062,60.6174,-2.00812,All
290.452,-0.550538,290.452,-0.0841857,290.452,-0.4555,60.878,-2.13719,49.7907,0.144469,60.878,-2.01894,All
297.491,-0.560271,297.491,-0.0882105,297.491,-0.460443,62.0812,-2.19461,50.9226,0.15571,62.0812,-2.06891,All
304.529,-0.57242,304.529,-0.0926369,304.529,-0.468246,63.545,-2.26448,51.6448,0.161722,63.545,-2.12969,All
311.568,-0.586964,311.568,-0.0974257,311.568,-0.478851,65.0088,-2.33434,52.0545,0.165132,65.0088,-2.19048,All
318.569,-0.605056,318.569,-0.1027,318.569,-0.493608,66.4726,-2.4042,53.1863,0.174554,66.4726,-2.25126,All
318.607,-0.605172,318.607,-0.102731,318.607,-0.49371,67.0245,-2.43055,54.3182,0.183976,67.0245,-2.27418,All
325.645,-0.627123,325.645,-0.108544,325.645,-0.512894,67.9364,-2.47407,55.1278,0.187091,67.9364,-2.31205,All
332.684,-0.649141,332.684,-0.114366,332.684,-0.532156,69.4001,-2.54387,55.4501,0.187999,69.4001,-2.37215,All
339.723,-0.678293,339.723,-0.121111,339.723,-0.559622,70.8639,-2.61208,56.582,0.191187,70.8639,-2.4151,All
346.761,-0.710837,346.761,-0.128282,346.761,-0.590977,72.3277,-2.68028,57.7139,0.194375,72.3277,-2.45806,All
353.8,-0.747834,353.8,-0.136001,353.8,-0.627429,73.7915,-2.74849,58.8458,0.193139,73.7915,-2.50101,All
