time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
184.872,0.452612,184.872,0.0910209,184.872,0.555215,71.0291,-2.37286,30.4482,0.0702725,71.0291,-2.12072,All
188.554,0.442086,188.554,0.0882611,188.554,0.547874,73.6236,-2.49203,31.7162,0.0594932,73.6236,-2.23348,All
191.911,0.432825,191.911,0.0856247,191.911,0.541537,73.9877,-2.50876,32.7828,0.0463276,73.9877,-2.2493,All
198.949,0.414371,198.949,0.079775,198.949,0.529264,76.9462,-2.64465,32.9842,0.0440706,76.9462,-2.37789,All
205.988,0.397565,205.988,0.0735762,205.988,0.518719,79.9048,-2.78054,34.2522,0.036366,79.9048,-2.50648,All
209.406,0.390206,209.406,0.0704252,209.406,0.514436,82.8633,-2.91643,35.5202,0.0397552,82.8633,-2.63506,All
213.027,0.382972,213.027,0.0670084,213.027,0.510479,85.8219,-3.05233,36.7881,0.0484398,85.8219,-2.76365,All
220.065,0.370749,220.065,0.0601714,220.065,0.504673,87.6582,-3.13598,38.0561,0.056797,87.6582,-2.84316,All
227.104,0.360343,227.104,0.0532375,227.104,0.5007,88.7804,-3.18639,38.662,0.0594485,88.7804,-2.89143,All
232.564,0.353576,232.564,0.04781,232.564,0.498929,91.739,-3.31927,39.3241,0.060972,91.739,-3.01871,All
234.143,0.351619,234.143,0.0462407,234.143,0.498417,94.6975,-3.45216,40.5921,0.0607084,94.6975,-3.14598,All
241.181,0.343671,241.181,0.0392638,241.181,0.496899,97.656,-3.585,41.8601,0.056701,97.656,-3.2733,All
248.22,0.338161,248.22,0.0324278,248.22,0.497759,100.615,-3.71881,43.1281,0.0499577,100.615,-3.40181,All
255.259,0.334163,255.259,0.0258168,255.259,0.500055,103.573,-3.85678,44.396,0.0402447,103.573,-3.53434,All
258.283,0.332816,258.283,0.0230482,258.283,0.501388,104.368,-3.89386,45.5955,0.03066,104.368,-3.56995,All
262.297,0.331606,262.297,0.0195295,262.297,0.503684,106.532,-3.99475,45.664,0.0300483,106.532,-3.66687,All
269.336,0.330417,269.336,0.0136521,269.336,0.508551,109.49,-4.13273,46.932,0.0183311,109.49,-3.7994,All
276.375,0.330716,276.375,0.00843674,276.375,0.514697,112.449,-4.2707,48.2,0.00638734,112.449,-3.93193,All
283.413,0.331584,283.413,0.00347466,283.413,0.521332,115.407,-4.40868,49.468,-0.00509252,115.407,-4.06445,All
286.847,0.332433,286.847,0.00133425,286.847,0.524908,118.366,-4.54665,50.736,-0.0151488,118.366,-4.19698,All
290.452,0.333849,290.452,-0.000568037,290.452,0.529081,121.324,-4.68463,52.0039,-0.0230895,121.324,-4.32951,All
297.491,0.336723,297.491,-0.00418519,297.491,0.537306,124.263,-4.82169,53.2719,-0.029257,124.263,-4.46117,All
304.529,0.340756,304.529,-0.00672337,304.529,0.54636,124.283,-4.8226,53.7724,-0.0316915,124.283,-4.46204,All
311.568,0.345579,311.568,-0.00830868,311.568,0.555913,127.241,-4.96058,54.5399,-0.0327535,127.241,-4.59457,All
318.569,0.351199,318.569,-0.00856429,318.569,0.565838,130.2,-5.09855,55.8079,-0.0318483,130.2,-4.7271,All
318.607,0.351232,318.607,-0.00855873,318.607,0.565893,133.159,-5.23653,57.0759,-0.025548,133.159,-4.85963,All
325.645,0.357538,325.645,-0.0075091,325.645,0.57613,136.117,-5.3745,58.3439,-0.0134197,136.117,-4.99216,All
332.684,0.363851,332.684,-0.00643729,332.684,0.58637,139.076,-5.51248,59.6118,0.00992693,139.076,-5.12469,All
339.723,0.370954,339.723,-0.00303561,339.723,0.596695,142.034,-5.65045,60.8798,0.0332735,142.034,-5.25722,All
346.761,0.378305,346.761,0.0014329,346.761,0.606949,144.993,-5.78843,62.1478,0.0566201,144.993,-5.38975,All
353.8,0.38587,353.8,0.00726552,353.8,0.617008,147.951,-5.9264,63.4158,0.0923772,147.951,-5.52228,All
