standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.0540331,0.400599,-0.596559,0.400599,All
-0.0531689,0.401598,-0.594728,0.401598,All
-0.0529216,0.402597,-0.590275,0.402597,All
-0.0522741,0.403596,-0.590082,0.403596,All
-0.0520677,0.404595,-0.590015,0.404595,All
-0.0516715,0.405594,-0.589538,0.405594,All
-0.0514675,0.406593,-0.587069,0.406593,All
-0.0512547,0.407592,-0.586542,0.407592,All
-0.0512104,0.408591,-0.584889,0.408591,All
-0.0509272,0.40959,-0.579303,0.40959,All
-0.0506298,0.410589,-0.577436,0.410589,All
-0.0501362,0.411588,-0.575371,0.411588,All
-0.0494332,0.412587,-0.571775,0.412587,All
-0.0480405,0.413586,-0.57023,0.413586,All
-0.0478108,0.414585,-0.569688,0.414585,All
-0.0468182,0.415584,-0.569273,0.415584,All
-0.0455415,0.416583,-0.559657,0.416583,All
-0.0452489,0.417582,-0.551105,0.417582,All
-0.0445802,0.418581,-0.549862,0.418581,All
-0.0442536,0.41958,-0.549392,0.41958,All
-0.0440085,0.420579,-0.547794,0.420579,All
-0.04379,0.421578,-0.54649,0.421578,All
-0.0430008,0.422577,-0.542275,0.422577,All
-0.0429935,0.423576,-0.541671,0.423576,All
-0.0428954,0.424575,-0.54041,0.424575,All
-0.0420751,0.425574,-0.539264,0.425574,All
-0.0418259,0.426573,-0.539251,0.426573,All
-0.0413713,0.427572,-0.539021,0.427572,All
-0.04103,0.428571,-0.53655,0.428571,All
-0.0409745,0.42957,-0.535536,0.42957,All
-0.0408373,0.430569,-0.531888,0.430569,All
-0.0407279,0.431568,-0.528978,0.431568,All
-0.0400067,0.432567,-0.528539,0.432567,All
-0.0396724,0.433566,-0.527445,0.433566,All
-0.0394264,0.434565,-0.52479,0.434565,All
-0.0394044,0.435564,-0.523196,0.435564,All
-0.0389039,0.436563,-0.522812,0.436563,All
-0.0384629,0.437562,-0.52217,0.437562,All
-0.0383448,0.438561,-0.519631,0.438561,All
-0.0382854,0.43956,-0.517963,0.43956,All
-0.0382548,0.440559,-0.517667,0.440559,All
-0.0380505,0.441558,-0.514506,0.441558,All
-0.0380468,0.442557,-0.513255,0.442557,All
-0.0380243,0.443556,-0.512829,0.443556,All
-0.0379795,0.444555,-0.511544,0.444555,All
-0.0373188,0.445554,-0.50212,0.445554,All
-0.0373175,0.446553,-0.498716,0.446553,All
-0.0372763,0.447552,-0.498411,0.447552,All
-0.0371801,0.448551,-0.494044,0.448551,All
-0.0370559,0.44955,-0.493723,0.44955,All
-0.0364719,0.450549,-0.490685,0.450549,All
-0.0364624,0.451548,-0.487628,0.451548,All
-0.0363629,0.452547,-0.487284,0.452547,All
-0.0362336,0.453546,-0.487032,0.453546,All
-0.0359171,0.454545,-0.48544,0.454545,All
-0.0358136,0.455544,-0.484182,0.455544,All
-0.0353955,0.456543,-0.483505,0.456543,All
-0.0353326,0.457542,-0.482208,0.457542,All
-0.0351899,0.458541,-0.479205,0.458541,All
-0.0347532,0.45954,-0.478057,0.45954,All
-0.0344969,0.460539,-0.475817,0.460539,All
-0.0344711,0.461538,-0.474919,0.461538,All
-0.034229,0.462537,-0.472953,0.462537,All
-0.0339743,0.463536,-0.470938,0.463536,All
-0.0339599,0.464535,-0.467857,0.464535,All
-0.0337947,0.465534,-0.467483,0.465534,All
-0.0336404,0.466533,-0.46627,0.466533,All
-0.0334548,0.467532,-0.466104,0.467532,All
-0.033234,0.468531,-0.465428,0.468531,All
-0.0328169,0.46953,-0.465161,0.46953,All
-0.0327586,0.470529,-0.465107,0.470529,All
-0.0323501,0.471528,-0.464756,0.471528,All
-0.0323402,0.472527,-0.46396,0.472527,All
-0.0322295,0.473526,-0.459018,0.473526,All
-0.0318915,0.474525,-0.456603,0.474525,All
-0.0318111,0.475524,-0.455416,0.475524,All
-0.0316346,0.476523,-0.455156,0.476523,All
-0.0315448,0.477522,-0.452968,0.477522,All
-0.0313324,0.478521,-0.450418,0.478521,All
-0.0311921,0.47952,-0.448194,0.47952,All
-0.0300904,0.480519,-0.447942,0.480519,All
-0.0300325,0.481518,-0.447349,0.481518,All
-0.0300286,0.482517,-0.444853,0.482517,All
-0.030003,0.483516,-0.443388,0.483516,All
-0.0298367,0.484515,-0.44333,0.484515,All
-0.0297038,0.485514,-0.439378,0.485514,All
-0.0295038,0.486513,-0.438474,0.486513,All
-0.0290488,0.487512,-0.43633,0.487512,All
-0.0285553,0.488511,-0.435884,0.488511,All
-0.0280315,0.48951,-0.434388,0.48951,All
-0.0279638,0.490509,-0.432346,0.490509,All
-0.0278317,0.491508,-0.430452,0.491508,All
-0.0278279,0.492507,-0.427947,0.492507,All
-0.027567,0.493506,-0.427742,0.493506,All
-0.0272677,0.494505,-0.426382,0.494505,All
-0.026765,0.495504,-0.425805,0.495504,All
-0.0267125,0.496503,-0.425351,0.496503,All
-0.0257118,0.497502,-0.425078,0.497502,All
-0.0252548,0.498501,-0.424246,0.498501,All
-0.0251191,0.4995,-0.423056,0.4995,All
-0.025116,0.5005,-0.422677,0.5005,All
-0.0249894,0.501499,-0.421164,0.501499,All
-0.0249602,0.502498,-0.421005,0.502498,All
-0.0246276,0.503497,-0.41793,0.503497,All
-0.0245165,0.504496,-0.417922,0.504496,All
-0.0237561,0.505495,-0.413167,0.505495,All
-0.0237308,0.506494,-0.411014,0.506494,All
-0.0236753,0.507493,-0.410791,0.507493,All
-0.0235595,0.508492,-0.409631,0.508492,All
-0.0235132,0.509491,-0.409097,0.509491,All
-0.0234259,0.51049,-0.407621,0.51049,All
-0.0229535,0.511489,-0.403782,0.511489,All
-0.0227766,0.512488,-0.403309,0.512488,All
-0.0226113,0.513487,-0.401488,0.513487,All
-0.0226006,0.514486,-0.401245,0.514486,All
-0.0222089,0.515485,-0.400638,0.515485,All
-0.0215548,0.516484,-0.400051,0.516484,All
-0.020991,0.517483,-0.399164,0.517483,All
-0.0209668,0.518482,-0.396663,0.518482,All
-0.0208546,0.519481,-0.39605,0.519481,All
-0.0206196,0.52048,-0.395904,0.52048,All
-0.0204531,0.521479,-0.391473,0.521479,All
-0.0195272,0.522478,-0.391394,0.522478,All
-0.0193384,0.523477,-0.38902,0.523477,All
-0.0192093,0.524476,-0.386379,0.524476,All
-0.0188981,0.525475,-0.381683,0.525475,All
-0.018286,0.526474,-0.380446,0.526474,All
-0.0181291,0.527473,-0.379373,0.527473,All
-0.0180437,0.528472,-0.379224,0.528472,All
-0.0179085,0.529471,-0.378429,0.529471,All
-0.0174515,0.53047,-0.376399,0.53047,All
-0.0171798,0.531469,-0.374578,0.531469,All
-0.0171372,0.532468,-0.373197,0.532468,All
-0.0170866,0.533467,-0.372487,0.533467,All
-0.0170423,0.534466,-0.369137,0.534466,All
-0.0169046,0.535465,-0.367153,0.535465,All
-0.0168604,0.536464,-0.366048,0.536464,All
-0.0167378,0.537463,-0.36525,0.537463,All
-0.0166483,0.538462,-0.365029,0.538462,All
-0.016635,0.539461,-0.364405,0.539461,All
-0.0165997,0.54046,-0.363347,0.54046,All
-0.0161332,0.541459,-0.36275,0.541459,All
-0.0160271,0.542458,-0.361133,0.542458,All
-0.0154851,0.543457,-0.360734,0.543457,All
-0.0153186,0.544456,-0.360444,0.544456,All
-0.0152981,0.545455,-0.359173,0.545455,All
-0.0151827,0.546454,-0.357999,0.546454,All
-0.0149657,0.547453,-0.356566,0.547453,All
-0.0141233,0.548452,-0.352051,0.548452,All
-0.0139027,0.549451,-0.346575,0.549451,All
-0.0134906,0.55045,-0.346394,0.55045,All
-0.0133379,0.551449,-0.344575,0.551449,All
-0.0131105,0.552448,-0.343908,0.552448,All
-0.0128519,0.553447,-0.340098,0.553447,All
-0.0128417,0.554446,-0.339118,0.554446,All
-0.0120069,0.555445,-0.339099,0.555445,All
-0.0119604,0.556444,-0.3325,0.556444,All
-0.0117148,0.557443,-0.332241,0.557443,All
-0.011653,0.558442,-0.327444,0.558442,All
-0.0116452,0.559441,-0.326967,0.559441,All
-0.0113539,0.56044,-0.325694,0.56044,All
-0.0110249,0.561439,-0.325568,0.561439,All
-0.0109553,0.562438,-0.324424,0.562438,All
-0.0106589,0.563437,-0.324186,0.563437,All
-0.0105179,0.564436,-0.323143,0.564436,All
-0.0104673,0.565435,-0.322714,0.565435,All
-0.0103405,0.566434,-0.321137,0.566434,All
-0.0101565,0.567433,-0.320131,0.567433,All
-0.0101105,0.568432,-0.31949,0.568432,All
-0.0101024,0.569431,-0.318876,0.569431,All
-0.0100474,0.57043,-0.315235,0.57043,All
-0.00981428,0.571429,-0.312722,0.571429,All
-0.00981274,0.572428,-0.31089,0.572428,All
-0.00951493,0.573427,-0.308343,0.573427,All
-0.00872358,0.574426,-0.307407,0.574426,All
-0.00831072,0.575425,-0.304483,0.575425,All
-0.00824151,0.576424,-0.303596,0.576424,All
-0.00812808,0.577423,-0.302983,0.577423,All
-0.0081273,0.578422,-0.302439,0.578422,All
-0.00761606,0.579421,-0.301929,0.579421,All
-0.00740938,0.58042,-0.300732,0.58042,All
-0.00730045,0.581419,-0.300108,0.581419,All
-0.00723481,0.582418,-0.29999,0.582418,All
-0.00720422,0.583417,-0.298824,0.583417,All
-0.00714422,0.584416,-0.295234,0.584416,All
